BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	ID	age	biomaterial_provider	cell_line	disease	isolate	sex	tissue	treatment	group
SAMN07445458	SRR5892109	2018-06-12T12:33:12Z	2017-08-03T07:26:25Z	42910823	6371905546	42910823	148	1472	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892109/SRR5892109.1	SRX3057859	KCL22_BEZ_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403789	simple	9606	Homo sapiens	KCL22 BEZ 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	6BB8B652E7AE725AE4B738FA048E6D6B	9A51D426E631BB8131AFBFD1548C4E1C	7445458	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22 BEZ 3	SRA: SRS2403789	KCL22 BEZ 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.BEZ
SAMN07445457	SRR5892110	2018-06-12T12:33:12Z	2017-08-03T07:30:32Z	47622878	7070095801	47622878	148	1614	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892110/SRR5892110.1	SRX3057858	KCL22_BEZ_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403790	simple	9606	Homo sapiens	KCL22 BEZ 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	1B82BA75D5163E6E7576D330F0FA45F0	3737C323066979D3CE27DC9F59688CF2	7445457	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22 BEZ 2	SRA: SRS2403790	KCL22 BEZ 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.BEZ
SAMN07445456	SRR5892111	2018-06-12T12:33:12Z	2017-08-03T07:30:13Z	44993237	6680108185	44993237	148	1556	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892111/SRR5892111.1	SRX3057857	KCL22_BEZ_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403791	simple	9606	Homo sapiens	KCL22 BEZ 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	5B9E482947F2CE68C3D5F756DF3D82A2	57B30553C320D954916B51C55C8122AC	7445456	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22 BEZ 1	SRA: SRS2403791	KCL22 BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.BEZ
SAMN07445461	SRR5892112	2018-06-12T12:33:12Z	2017-08-03T07:30:49Z	50978820	7568729061	50978820	148	1771	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892112/SRR5892112.1	SRX3057856	KCL22_PON+BEZ_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403792	simple	9606	Homo sapiens	KCL22 PON+BEZ 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	92E5F5996458365821F9E607B52E0604	AFD56CF491B63953AA8EA66F4776B6FB	7445461	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 2	SRA: SRS2403792	KCL22 PON+BEZ 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.PON_BEZ
SAMN07445460	SRR5892113	2018-06-12T12:33:12Z	2017-08-03T07:28:55Z	47730235	7087670125	47730235	148	1632	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892113/SRR5892113.1	SRX3057855	KCL22_PON+BEZ_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403793	simple	9606	Homo sapiens	KCL22 PON+BEZ 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	7A03EB3C9DAB9E419C5D14644D261290	EC54FF4B652DD5066068FA8DFDDF316B	7445460	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 1	SRA: SRS2403793	KCL22 PON+BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.PON_BEZ
SAMN07445463	SRR5892114	2018-06-12T12:33:12Z	2017-08-03T07:27:22Z	43336617	6435264535	43336617	148	1513	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892114/SRR5892114.1	SRX3057854	KCL22_PON+BEZ_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403794	simple	9606	Homo sapiens	KCL22 PON+BEZ 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	4DCE8CDBC0F234AF3DD53DE9B4A1E7DA	42B77F9E3DFB3DCA404B6CE49B9FE248	7445463	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 4	SRA: SRS2403794	KCL22 PON+BEZ 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.PON_BEZ
SAMN07445462	SRR5892115	2018-06-12T12:33:12Z	2017-08-03T07:42:00Z	50609447	7516912581	50609447	148	1701	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892115/SRR5892115.1	SRX3057853	KCL22_PON+BEZ_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403795	simple	9606	Homo sapiens	KCL22 PON+BEZ 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	252C80586848699E5B566660C4132814	5D05A5D0A6EB400EB21507E0643CCEE1	7445462	KCL22 parental cellline, treated with 100nM NVP-BEZ235 and 100nM Ponatinib (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22 PON+BEZ 3	SRA: SRS2403795	KCL22 PON+BEZ 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.PON_BEZ
SAMN07445465	SRR5892116	2018-06-12T12:33:12Z	2017-08-03T07:26:41Z	44406340	6594301327	44406340	148	1483	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892116/SRR5892116.1	SRX3057852	KCL22Pon-Res_NDC_6	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403796	simple	9606	Homo sapiens	KCL22Pon-Res NDC 6					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	C9F25D7548BF5AB4C355A2D7BB98CC51	080F368A74D07D7077CB18EEB12BB4BF	7445465	KCL22 Pon-Res cellline, untreated, sample #6	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 6	SRA: SRS2403796	KCL22Pon-Res NDC 6	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445464	SRR5892117	2018-06-12T12:33:12Z	2017-08-03T09:00:31Z	43525097	6462211993	43525097	148	1490	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892117/SRR5892117.1	SRX3057851	KCL22Pon-Res_NDC_5	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403797	simple	9606	Homo sapiens	KCL22Pon-Res NDC 5					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	207D1C7EA322E84FF091869E20DBA57A	13DCFA5FD9C9B5A1115F91040B23B6DC	7445464	KCL22 Pon-Res cellline, untreated, sample #5	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 5	SRA: SRS2403797	KCL22Pon-Res NDC 5	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445467	SRR5892118	2018-06-12T12:33:12Z	2017-08-03T07:38:14Z	45854218	6809560036	45854218	148	1555	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892118/SRR5892118.1	SRX3057850	KCL22Pon-Res_NDC_8	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403798	simple	9606	Homo sapiens	KCL22Pon-Res NDC 8					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	E2CB7C282AD62EF9594EC51CF0FA1AC3	F88566D338A079A8D98466BDA1DC5E93	7445467	KCL22 Pon-Res cellline, untreated, sample #8	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 8	SRA: SRS2403798	KCL22Pon-Res NDC 8	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445466	SRR5892119	2018-06-12T12:33:12Z	2017-08-03T07:27:13Z	44128359	6554079765	44128359	148	1480	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892119/SRR5892119.1	SRX3057849	KCL22Pon-Res_NDC_7	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403799	simple	9606	Homo sapiens	KCL22Pon-Res NDC 7					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	A3D720A740E6A20ECF669B93AF22DD7A	04FB380B1D840E6FACA0BEC38EF0FE6F	7445466	KCL22 Pon-Res cellline, untreated, sample #7	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 7	SRA: SRS2403799	KCL22Pon-Res NDC 7	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445469	SRR5892120	2018-06-12T12:33:12Z	2017-08-03T07:25:57Z	41382545	6143453050	41382545	148	1478	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892120/SRR5892120.1	SRX3057848	KCL22Pon-Res_BEZ_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403800	simple	9606	Homo sapiens	KCL22Pon-Res BEZ 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	05548C2F81EBA1E99DD1446481F93738	51D1BBDA873102B2142A94DDA8836CEE	7445469	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 2	SRA: SRS2403800	KCL22Pon-Res BEZ 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.Pon_Res.BEZ
SAMN07445468	SRR5892121	2018-06-12T12:33:12Z	2017-08-03T07:26:51Z	46235266	6864511191	46235266	148	1593	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892121/SRR5892121.1	SRX3057847	KCL22Pon-Res_BEZ_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403801	simple	9606	Homo sapiens	KCL22Pon-Res BEZ 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	4E8B63435B88E2C514F0B0FAF0BC861A	E8191125D5894EA2A4F7423A3EC1B5C1	7445468	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 1	SRA: SRS2403801	KCL22Pon-Res BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.Pon_Res.BEZ
SAMN07445471	SRR5892122	2018-06-12T12:33:12Z	2017-08-03T07:24:42Z	38860054	5769183476	38860054	148	1359	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892122/SRR5892122.1	SRX3057846	KCL22Pon-Res_BEZ_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403802	simple	9606	Homo sapiens	KCL22Pon-Res BEZ 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	BCF4190C1F0A8B75B0FA5197E3377EBB	018BCDB2EDDC74C627E1AD85C22942D9	7445471	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 4	SRA: SRS2403802	KCL22Pon-Res BEZ 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.Pon_Res.BEZ
SAMN07445470	SRR5892123	2018-06-12T12:33:12Z	2017-08-07T12:38:05Z	72938770	10830549827	72938770	148	2488	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892123/SRR5892123.1	SRX3057845	KCL22Pon-Res_BEZ_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403803	simple	9606	Homo sapiens	KCL22Pon-Res BEZ 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	CE3D4C00651D7403F481FE4932969D89	5772B68483EE098E6B7609EA3BEE4AC7	7445470	KCL22 Pon-Res cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22Pon-Res BEZ 3	SRA: SRS2403803	KCL22Pon-Res BEZ 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.Pon_Res.BEZ
