BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	drug exposure time	knockout	source_name	treatment condition	group
SAMN12822764	SRR10166313	2020-01-01T12:33:09Z	2019-09-23T19:52:49Z	42919472	2188893072	0	51	814		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166313/SRR10166313.1	SRX6891088		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424067	simple	9606	Homo sapiens	GSM4091132							no					GEO	SRA966882		public	FFED8FD5D116EF764DDAB0C04600278F	509720312345069A4583253316DADE2C	12822764	Scramble_S18_6_S34	University of California San Francisco	9606	SRS5424067	GSM4091132	4 hours	None	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.None.IL7.4
SAMN12822763	SRR10166314	2020-01-01T12:33:09Z	2019-09-23T19:54:41Z	46730911	2383276461	0	51	857		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166314/SRR10166314.1	SRX6891089		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424068	simple	9606	Homo sapiens	GSM4091133							no					GEO	SRA966882		public	D36F11D5F81D27F39CC45BF0977F39F5	76AD2EEA2958BACCCFAD839D84B32E87	12822763	Scramble_S18_7_S42	University of California San Francisco	9606	SRS5424068	GSM4091133	4 hours	None	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.None.DEX_IL7.4
SAMN12822762	SRR10166315	2020-01-01T12:33:09Z	2019-09-23T19:56:33Z	54478157	2778386007	0	51	1012		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166315/SRR10166315.1	SRX6891090		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424069	simple	9606	Homo sapiens	GSM4091134							no					GEO	SRA966882		public	6A79155A9B18204970F0A9A5E9033A79	203594F60929BFFB8A113F637522F34E	12822762	Scramble_S19_1_S40	University of California San Francisco	9606	SRS5424069	GSM4091134	NA	None	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.None.VEH.
SAMN12822761	SRR10166316	2020-01-01T12:33:09Z	2019-09-23T19:53:15Z	48048538	2450475438	0	51	893		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166316/SRR10166316.1	SRX6891091		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424070	simple	9606	Homo sapiens	GSM4091135							no					GEO	SRA966882		public	AE767A02E1644D58922B8F2D9C3CFF9D	791878A2CF0AAE95DAEC5EDC7F8F6806	12822761	Scramble_S19_2_S38	University of California San Francisco	9606	SRS5424070	GSM4091135	16 hours	None	CCRF-CEM leukemia cell line	DEX_16	CCRF_CEM.None.DEX.16
SAMN12822760	SRR10166317	2020-01-01T12:33:09Z	2019-09-23T19:52:37Z	43504833	2218746483	0	51	807		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166317/SRR10166317.1	SRX6891092		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424071	simple	9606	Homo sapiens	GSM4091136							no					GEO	SRA966882		public	94A30402D69336FE804360BD07EC2C57	39B323E5A034561BC9F79401671C63F9	12822760	Scramble_S19_3_S33	University of California San Francisco	9606	SRS5424071	GSM4091136	16 hours	None	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.None.IL7.16
SAMN12822759	SRR10166318	2020-01-01T12:33:09Z	2019-09-23T19:54:20Z	48047958	2450445858	0	51	884		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166318/SRR10166318.1	SRX6891093		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424072	simple	9606	Homo sapiens	GSM4091137							no					GEO	SRA966882		public	DB38C6BBFC00FEB2EE122C557BA67D08	876317CB2C57D6DD3ED10B45C19F4405	12822759	Scramble_S19_4_S29	University of California San Francisco	9606	SRS5424072	GSM4091137	16 hours	None	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.None.DEX_IL7.16
SAMN12822758	SRR10166319	2020-01-01T12:33:09Z	2019-09-23T19:57:10Z	55792665	2845425915	0	51	1029		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166319/SRR10166319.1	SRX6891094		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424073	simple	9606	Homo sapiens	GSM4091138							no					GEO	SRA966882		public	0C239DBD5E34808DF2300C4CDC1B0E70	44C8B8D015DCA68D248499D03B575DA6	12822758	Scramble_S19_5_S45	University of California San Francisco	9606	SRS5424073	GSM4091138	4 hours	None	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.None.DEX.4
SAMN12822757	SRR10166320	2020-01-01T12:33:09Z	2019-09-23T19:55:00Z	47402602	2417532702	0	51	889		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016632/SRR10166320.1	SRX6891095		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424074	simple	9606	Homo sapiens	GSM4091139							no					GEO	SRA966882		public	D8A03CFFE9A97912AA7263C0CF18E69F	EAF15B742249AA9C18D09A9A5AC8E4ED	12822757	Scramble_S19_6_S41	University of California San Francisco	9606	SRS5424074	GSM4091139	4 hours	None	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.None.IL7.4
SAMN12822756	SRR10166321	2020-01-01T12:33:09Z	2019-09-23T19:54:09Z	44428842	2265870942	0	51	845		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166321/SRR10166321.1	SRX6891096		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424075	simple	9606	Homo sapiens	GSM4091140							no					GEO	SRA966882		public	348C09A9315488B5D30EEC52A5CC61BC	CF187B44B5ECA05D496515500CE83D34	12822756	Scramble_S19_7_S37	University of California San Francisco	9606	SRS5424075	GSM4091140	4 hours	None	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.None.DEX_IL7.4
SAMN12822755	SRR10166322	2020-01-01T12:33:09Z	2019-09-23T20:02:56Z	70247154	3582604854	0	51	1295		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166322/SRR10166322.1	SRX6891097		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424076	simple	9606	Homo sapiens	GSM4091141							no					GEO	SRA966882		public	C1397605ACFCB6C1580E92C899F700F1	B530671ECE26976E38FF76B373877362	12822755	Scramble_S1_1_S33	University of California San Francisco	9606	SRS5424076	GSM4091141	NA	None	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.None.VEH.
SAMN12822754	SRR10166323	2020-01-01T12:33:09Z	2019-09-23T19:57:04Z	52613062	2683266162	0	51	967		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166323/SRR10166323.1	SRX6891098		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424077	simple	9606	Homo sapiens	GSM4091142							no					GEO	SRA966882		public	E730DAFFF79F0188C6E342302EF9D36D	3015AD7D12A8DF1534B827878490F9A0	12822754	Scramble_S1_2_S32	University of California San Francisco	9606	SRS5424077	GSM4091142	16 hours	None	CCRF-CEM leukemia cell line	DEX_16	CCRF_CEM.None.DEX.16
SAMN12822753	SRR10166324	2020-01-01T12:33:09Z	2019-09-23T19:54:21Z	39580765	2018619015	0	51	735		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166324/SRR10166324.1	SRX6891099		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424078	simple	9606	Homo sapiens	GSM4091143							no					GEO	SRA966882		public	85421D86085832CD103F27B4A975E8B6	D4BFADDE57F945234CBEA89B32853E81	12822753	Scramble_S1_3_S32	University of California San Francisco	9606	SRS5424078	GSM4091143	16 hours	None	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.None.IL7.16
SAMN12822752	SRR10166325	2020-01-01T12:33:09Z	2019-09-23T20:48:27Z	258674424	13192395624	0	51	4714		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016632/SRR10166325.1	SRX6891100		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424079	simple	9606	Homo sapiens	GSM4091144							no					GEO	SRA966882		public	21560C0D2CCCC7A686FC32FB646AE03B	E0CB8185A931D0DB2F0C81E0E5F08B8F	12822752	Scramble_S1_4_S31	University of California San Francisco	9606	SRS5424079	GSM4091144	16 hours	None	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.None.DEX_IL7.16
SAMN12822751	SRR10166326	2020-01-01T12:33:09Z	2019-09-23T19:55:14Z	43891709	2238477159	0	51	805		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166326/SRR10166326.1	SRX6891101		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424080	simple	9606	Homo sapiens	GSM4091145							no					GEO	SRA966882		public	98E599A02CDBD5957DB7BF1945070D8C	467ECA6DDD72488C13A3420E9E4BF503	12822751	Scramble_S1_5_S22	University of California San Francisco	9606	SRS5424080	GSM4091145	4 hours	None	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.None.DEX.4
SAMN12822750	SRR10166327	2020-01-01T12:33:09Z	2019-09-23T19:56:42Z	46356307	2364171657	0	51	853		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016632/SRR10166327.1	SRX6891102		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424081	simple	9606	Homo sapiens	GSM4091146							no					GEO	SRA966882		public	66619BED425827F110557D9A52B847CF	FD56D1B8DF9F5649D2EB0A64E1954DB8	12822750	Scramble_S1_6_S24	University of California San Francisco	9606	SRS5424081	GSM4091146	4 hours	None	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.None.IL7.4
SAMN12822749	SRR10166328	2020-01-01T12:33:08Z	2019-09-23T19:57:02Z	62954328	3210670728	0	51	1154		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166328/SRR10166328.1	SRX6891071		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424050	simple	9606	Homo sapiens	GSM4091147							no					GEO	SRA966882		public	EE735D9F0BA622F31D54BA7B7E196445	15248870234BDF1B22E3941F1F67339D	12822749	Scramble_S1_7_S27	University of California San Francisco	9606	SRS5424050	GSM4091147	4 hours	None	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.None.DEX_IL7.4
SAMN12822748	SRR10166329	2020-01-01T12:33:08Z	2019-09-23T19:58:40Z	52131110	2658686610	0	51	958		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166329/SRR10166329.1	SRX6891072		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424051	simple	9606	Homo sapiens	GSM4091148							no					GEO	SRA966882		public	8AA0A59B9B24801C29DAF91958C6429F	CF5FC5715EB1F2405899E6454773C710	12822748	Scramble_S2_1_S25	University of California San Francisco	9606	SRS5424051	GSM4091148	NA	None	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.None.VEH.
SAMN12822780	SRR10166330	2020-01-01T12:33:08Z	2019-09-23T19:54:14Z	43993242	2243655342	0	51	815		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166330/SRR10166330.1	SRX6891073		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424052	simple	9606	Homo sapiens	GSM4091149							no					GEO	SRA966882		public	5B7914A52775F7DD04D00BC156C9328D	94F81AE2AB34FB960448D970CBB52C4D	12822780	Scramble_S2_2_S23	University of California San Francisco	9606	SRS5424052	GSM4091149	16 hours	None	CCRF-CEM leukemia cell line	DEX16	CCRF_CEM.None.DEX.16
SAMN12822779	SRR10166331	2020-01-01T12:33:08Z	2019-09-23T19:59:34Z	50580078	2579583978	0	51	931		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166331/SRR10166331.1	SRX6891074		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424053	simple	9606	Homo sapiens	GSM4091150							no					GEO	SRA966882		public	0D39A20134C2EC5F3B685ACB705869A9	9D2476A97C782EF11E4C09FE140CD2DA	12822779	Scramble_S2_3_S26	University of California San Francisco	9606	SRS5424053	GSM4091150	16 hours	None	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.None.IL7.16
SAMN12822778	SRR10166332	2020-01-01T12:33:08Z	2019-09-23T19:56:37Z	49452262	2522065362	0	51	911		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016633/SRR10166332.1	SRX6891075		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424054	simple	9606	Homo sapiens	GSM4091151							no					GEO	SRA966882		public	1AFC4EFA416BCAAE43CB9EC8B8FD5E74	6AD68D95E6FAB125BCE2CDCE826C658E	12822778	Scramble_S2_4_S36	University of California San Francisco	9606	SRS5424054	GSM4091151	16 hours	None	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.None.DEX_IL7.16
SAMN12822777	SRR10166333	2020-01-01T12:33:08Z	2019-09-23T20:22:37Z	125333147	6391990497	0	51	2293		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166333/SRR10166333.1	SRX6891076		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424055	simple	9606	Homo sapiens	GSM4091152							no					GEO	SRA966882		public	0A16D5F485948A6A49AB4506F8932CB7	29B67CBB0032E5ACDAEBACAB40E885EC	12822777	Scramble_S2_5_S30	University of California San Francisco	9606	SRS5424055	GSM4091152	4 hours	None	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.None.DEX.4
SAMN12822776	SRR10166334	2020-01-01T12:33:08Z	2019-09-23T19:59:14Z	47285220	2411546220	0	51	868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166334/SRR10166334.1	SRX6891077		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424056	simple	9606	Homo sapiens	GSM4091153							no					GEO	SRA966882		public	237B4B1428C8557C4E9BEB7DD0EFF982	FE09BC2CA919E16FAAA1B14D100722A3	12822776	Scramble_S2_6_S35	University of California San Francisco	9606	SRS5424056	GSM4091153	4 hours	None	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.None.IL7.4
SAMN12822775	SRR10166335	2020-01-01T12:33:08Z	2019-09-23T19:58:43Z	46588729	2376025179	0	51	857		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166335/SRR10166335.1	SRX6891078		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424057	simple	9606	Homo sapiens	GSM4091154							no					GEO	SRA966882		public	C91D1AEFBF5157EE97B596FB5702729A	38E79C82A3C41FA79F3647748F7B2638	12822775	Scramble_S2_7_S40	University of California San Francisco	9606	SRS5424057	GSM4091154	4 hours	None	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.None.DEX_IL7.4
