BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	source_name	treatment
SAMN26542553	SRR18280505	2022-03-26T14:35:28Z	2022-03-11T15:35:11Z	12339255	1246264755	0	101	405		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280505/SRR18280505	SRX14418364	GSM5941952	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227468	simple	9606	Homo sapiens	GSM5941952							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	6580E5243885D0466AE4457439AACD03	13EEBAEA199DE146C1849DA2B7063360	26542553	MPAF_NVP2_10nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227468	GSM5941952	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_24h
SAMN26542554	SRR18280506	2022-03-26T14:35:28Z	2022-03-11T15:34:17Z	9579163	967495463	0	101	314		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280506/SRR18280506	SRX14418363	GSM5941951	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227467	simple	9606	Homo sapiens	GSM5941951							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	1D5D059199899BBD361F522CF018FFFB	4042842C0842F1151D2EFC1380ED2370	26542554	MPAF_NVP2_10nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227467	GSM5941951	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_24h
SAMN26542555	SRR18280507	2022-03-26T14:35:28Z	2022-03-11T15:35:25Z	13211336	1334344936	0	101	430		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280507/SRR18280507	SRX14418362	GSM5941950	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227466	simple	9606	Homo sapiens	GSM5941950							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	F2F6861EFDB2951B09A99CDEA734A720	A0B96C5B4B3C5610ABD726BC9C61AAA7	26542555	MPAF_NVP2_10nM_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227466	GSM5941950	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_1h
SAMN26542556	SRR18280508	2022-03-26T14:35:28Z	2022-03-11T15:35:36Z	13046482	1317694682	0	101	426		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280508/SRR18280508	SRX14418361	GSM5941949	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227465	simple	9606	Homo sapiens	GSM5941949							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	0FB33AA5AD8024A59C01B2E02FE56B1A	7859B1EF2C116603B042A907BC2767DF	26542556	MPAF_NVP2_10nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227465	GSM5941949	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_1h
SAMN26542557	SRR18280509	2022-03-26T14:35:28Z	2022-03-11T15:36:09Z	14739791	1488718891	0	101	481		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280509/SRR18280509	SRX14418360	GSM5941948	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227464	simple	9606	Homo sapiens	GSM5941948							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	B8F798CB2AC11B556E383EC056BA6D97	E56C0551B0B221F643AF8E618F6881E7	26542557	MPAF_NVP2_10nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227464	GSM5941948	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_1h
SAMN26542558	SRR18280510	2022-03-26T14:35:28Z	2022-03-11T15:36:16Z	15050126	1520062726	0	101	486		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280510/SRR18280510	SRX14418359	GSM5941947	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227463	simple	9606	Homo sapiens	GSM5941947							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	33B1CEC043E0239EF9F188E1866906D3	760B52FCE9F0D4EC2DC993F33B7DD34D	26542558	TCam2_DMSO_0.001%_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227463	GSM5941947	Seminoma	TCam2_cell_line	DMSO_0.001%_24h
SAMN26542559	SRR18280511	2022-03-26T14:35:28Z	2022-03-11T15:35:08Z	10825761	1093401861	0	101	353		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280511/SRR18280511	SRX14418358	GSM5941946	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227462	simple	9606	Homo sapiens	GSM5941946							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	CA1CACB71403EF0C7789FB944959B955	8FD603696639FBF89D31EA1095B059F1	26542559	TCam2_DMSO_0.001%_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227462	GSM5941946	Seminoma	TCam2_cell_line	DMSO_0.001%_24h
SAMN26542560	SRR18280512	2022-03-26T14:35:28Z	2022-03-11T15:34:41Z	14268425	1441110925	0	101	461		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280512/SRR18280512	SRX14418357	GSM5941945	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227461	simple	9606	Homo sapiens	GSM5941945							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	6145B121352CF1C35E36D7FE5B2757E8	5E601D68D98B0FEA30A781480C34859A	26542560	TCam2_DMSO_0.001%_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227461	GSM5941945	Seminoma	TCam2_cell_line	DMSO_0.001%_24h
SAMN26542561	SRR18280513	2022-03-26T14:35:28Z	2022-03-11T15:36:15Z	13394051	1352799151	0	101	432		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280513/SRR18280513	SRX14418356	GSM5941944	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227460	simple	9606	Homo sapiens	GSM5941944							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	D9EC8A05480B404F63AD97DEF06B9011	0A62ABEC6B5B6E8F4B9F6C338AC2B997	26542561	TCam2_DMSO_0.001%_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227460	GSM5941944	Seminoma	TCam2_cell_line	DMSO_0.001%_1h
SAMN26542562	SRR18280514	2022-03-26T14:35:28Z	2022-03-11T15:35:05Z	9941457	1004087157	0	101	322		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280514/SRR18280514	SRX14418355	GSM5941943	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227459	simple	9606	Homo sapiens	GSM5941943							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	219E64AB232D81ACC51081F446578E42	8FA34B785DD2CD6FAF21BB6779891607	26542562	TCam2_DMSO_0.001%_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227459	GSM5941943	Seminoma	TCam2_cell_line	DMSO_0.001%_1h
SAMN26542563	SRR18280515	2022-03-26T14:35:28Z	2022-03-11T15:36:42Z	12878648	1300743448	0	101	416		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280515/SRR18280515	SRX14418354	GSM5941942	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227457	simple	9606	Homo sapiens	GSM5941942							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	D037570B8FA54585914D7114615C3BAA	B1FB72C7E40B0F6B80F336BA89D496BB	26542563	TCam2_DMSO_0.001%_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227457	GSM5941942	Seminoma	TCam2_cell_line	DMSO_0.001%_1h
SAMN26542564	SRR18280516	2022-03-26T14:35:28Z	2022-03-11T15:36:09Z	10698981	1080597081	0	101	349		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280516/SRR18280516	SRX14418353	GSM5941941	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227458	simple	9606	Homo sapiens	GSM5941941							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	659CB04AF43B56F834A8D141F00AAF19	8A8B036508669ACCB61ECE202E59BF01	26542564	TCam2_YKL5124_100nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227458	GSM5941941	Seminoma	TCam2_cell_line	YKL5124_100nM_24h
SAMN26542565	SRR18280517	2022-03-26T14:35:28Z	2022-03-11T15:36:07Z	10909706	1101880306	0	101	358		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280517/SRR18280517	SRX14418352	GSM5941940	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227456	simple	9606	Homo sapiens	GSM5941940							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	D5B5A9CD853BA5D9E5418A4EE4BF8B71	3991F045E4FE3A661DB5793467C09EA3	26542565	TCam2_YKL5124_100nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227456	GSM5941940	Seminoma	TCam2_cell_line	YKL5124_100nM_24h
SAMN26542566	SRR18280518	2022-03-26T14:35:28Z	2022-03-11T15:36:06Z	10602135	1070815635	0	101	347		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280518/SRR18280518	SRX14418351	GSM5941939	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227455	simple	9606	Homo sapiens	GSM5941939							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	4F2B7D796775B5B316FED7DE0451520F	6F02C77C9582C0F6CFB55704C799C082	26542566	TCam2_YKL5124_100nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227455	GSM5941939	Seminoma	TCam2_cell_line	YKL5124_100nM_24h
SAMN26542567	SRR18280519	2022-03-26T14:35:28Z	2022-03-11T15:36:39Z	11069823	1118052123	0	101	359		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280519/SRR18280519	SRX14418350	GSM5941938	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227454	simple	9606	Homo sapiens	GSM5941938							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	884CAABF57AF792A405D61389040399C	B5AA2FC592E269616B952A28A03C8687	26542567	TCam2_YKL5124_100nM_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227454	GSM5941938	Seminoma	TCam2_cell_line	YKL5124_100nM_1h
SAMN26542568	SRR18280520	2022-03-26T14:35:28Z	2022-03-11T15:36:08Z	9863481	996211581	0	101	319		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280520/SRR18280520	SRX14418349	GSM5941937	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227453	simple	9606	Homo sapiens	GSM5941937							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	B57943CA550C017C7524A7097C1ECE5B	368C3C19FE0CF34932427B9A5DB01DEE	26542568	TCam2_YKL5124_100nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227453	GSM5941937	Seminoma	TCam2_cell_line	YKL5124_100nM_1h
SAMN26542569	SRR18280521	2022-03-26T14:35:28Z	2022-03-11T15:37:48Z	13497370	1363234370	0	101	437		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280521/SRR18280521	SRX14418348	GSM5941936	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227452	simple	9606	Homo sapiens	GSM5941936							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	912684C54C881B8C2934DBD853634596	9832D1763F1E7F29D181A097D7855B55	26542569	TCam2_YKL5124_100nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227452	GSM5941936	Seminoma	TCam2_cell_line	YKL5124_100nM_1h
SAMN26542570	SRR18280522	2022-03-26T14:35:28Z	2022-03-11T15:35:31Z	12704028	1283106828	0	101	414		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280522/SRR18280522	SRX14418347	GSM5941935	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227451	simple	9606	Homo sapiens	GSM5941935							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	E0E9738926D54F758ECA54D189B6482A	4866B86B29BCB335CFB32B7BB3F04E9B	26542570	TCam2_THZ531_100nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227451	GSM5941935	Seminoma	TCam2_cell_line	THZ531_100nM_24h
SAMN26542571	SRR18280523	2022-03-26T14:35:28Z	2022-03-11T15:36:40Z	11662354	1177897754	0	101	379		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280523/SRR18280523	SRX14418346	GSM5941934	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227449	simple	9606	Homo sapiens	GSM5941934							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	DAE1A73E17787FE99D143BEF0B05B264	331A9ACF7649AFA39404E5FF2C111322	26542571	TCam2_THZ531_100nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227449	GSM5941934	Seminoma	TCam2_cell_line	THZ531_100nM_24h
SAMN26542572	SRR18280524	2022-03-26T14:35:28Z	2022-03-11T15:36:42Z	10338838	1044222638	0	101	339		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280524/SRR18280524	SRX14418345	GSM5941933	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227450	simple	9606	Homo sapiens	GSM5941933							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	CD820E455EC25E67BD635BAA6C91C647	C196C4E3346426AAC738C312024085E8	26542572	TCam2_THZ531_100nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227450	GSM5941933	Seminoma	TCam2_cell_line	THZ531_100nM_24h
SAMN26542573	SRR18280525	2022-03-26T14:35:28Z	2022-03-11T15:36:27Z	15157988	1530956788	0	101	493		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280525/SRR18280525	SRX14418344	GSM5941932	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227448	simple	9606	Homo sapiens	GSM5941932							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	33497A4B3C8D58B8996BF95BEF2A6C2F	7D19C187A3B1464FC8C238C2D4795D6B	26542573	TCam2_THZ531_100nM_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227448	GSM5941932	Seminoma	TCam2_cell_line	THZ531_100nM_1h
SAMN26542574	SRR18280526	2022-03-26T14:35:28Z	2022-03-11T15:37:19Z	12719350	1284654350	0	101	420		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280526/SRR18280526	SRX14418343	GSM5941931	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227446	simple	9606	Homo sapiens	GSM5941931							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	FAD1BECE1C0746658A4F5D8A2DF07194	EB10F2722FB0BFB4BBF869DF8B8A1C57	26542574	TCam2_THZ531_100nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227446	GSM5941931	Seminoma	TCam2_cell_line	THZ531_100nM_1h
SAMN26542575	SRR18280527	2022-03-26T14:35:28Z	2022-03-11T15:37:35Z	12565586	1269124186	0	101	409		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280527/SRR18280527	SRX14418342	GSM5941930	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227447	simple	9606	Homo sapiens	GSM5941930							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	AEC4AD07F94FA7BAE5229C07279D8E55	E440C46D851E9E5F35E932A7ADA8BC6F	26542575	TCam2_THZ531_100nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227447	GSM5941930	Seminoma	TCam2_cell_line	THZ531_100nM_1h
SAMN26542576	SRR18280528	2022-03-26T14:35:28Z	2022-03-11T15:36:59Z	12536244	1266160644	0	101	409		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280528/SRR18280528	SRX14418341	GSM5941929	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227445	simple	9606	Homo sapiens	GSM5941929							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	2D97571DF5FA085B81644F3D0717FE44	8D0D0708C6C104D5D5B96811AD20F0A2	26542576	TCam2_DMSO_0.0001%_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227445	GSM5941929	Seminoma	TCam2_cell_line	DMSO_0.0001%_24h
SAMN26542577	SRR18280529	2022-03-26T14:35:28Z	2022-03-11T15:38:19Z	14030673	1417097973	0	101	458		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280529/SRR18280529	SRX14418340	GSM5941928	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227444	simple	9606	Homo sapiens	GSM5941928							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	5D7D8AEE957048BE92A6F8007EFCEA68	64A3759C08D4FF808176C73EC8F8489F	26542577	TCam2_DMSO_0.0001%_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227444	GSM5941928	Seminoma	TCam2_cell_line	DMSO_0.0001%_24h
SAMN26542578	SRR18280530	2022-03-26T14:35:28Z	2022-03-11T15:37:06Z	12369781	1249347881	0	101	403		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280530/SRR18280530	SRX14418339	GSM5941927	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227443	simple	9606	Homo sapiens	GSM5941927							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	0B14F032EFD5B915FE18D816D5E13A6D	9F09BCF220AF3E875B0635FC4EF3DEEA	26542578	TCam2_DMSO_0.0001%_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227443	GSM5941927	Seminoma	TCam2_cell_line	DMSO_0.0001%_24h
SAMN26542579	SRR18280531	2022-03-26T14:35:28Z	2022-03-11T15:38:09Z	13104236	1323527836	0	101	425		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280531/SRR18280531	SRX14418338	GSM5941926	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227442	simple	9606	Homo sapiens	GSM5941926							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	7DC285BFFCF137A6B50FFDCC9DF93056	1FB86541F8D1DA9CD1D484D35B0E2BD6	26542579	TCam2_DMSO_0.0001%_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227442	GSM5941926	Seminoma	TCam2_cell_line	DMSO_0.0001%_1h
SAMN26542580	SRR18280532	2022-03-26T14:35:30Z	2022-03-11T15:38:57Z	15000230	1515023230	0	101	485		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280532/SRR18280532	SRX14418337	GSM5941925	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227440	simple	9606	Homo sapiens	GSM5941925							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	EF2CA2BC292F6CE87834B04FF885AECA	F7F3F32F915576FEE163899A9186CA19	26542580	TCam2_DMSO_0.0001%_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227440	GSM5941925	Seminoma	TCam2_cell_line	DMSO_0.0001%_1h
SAMN26542581	SRR18280533	2022-03-26T14:35:30Z	2022-03-11T15:39:24Z	15472179	1562690079	0	101	501		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280533/SRR18280533	SRX14418336	GSM5941924	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227441	simple	9606	Homo sapiens	GSM5941924							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	80B0E82F32B90E0DCC9A5ECC4FA77CF2	6AF6CFDF7FCD5429E8B01FBEA8F6A88C	26542581	TCam2_DMSO_0.0001%_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227441	GSM5941924	Seminoma	TCam2_cell_line	DMSO_0.0001%_1h
SAMN26542582	SRR18280534	2022-03-26T14:35:30Z	2022-03-11T15:36:47Z	12524612	1264985812	0	101	406		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280534/SRR18280534	SRX14418335	GSM5941923	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227439	simple	9606	Homo sapiens	GSM5941923							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	C4FD0A7B4BB3EC5E25D39EF7F29C0252	B09EE844F7A5D730FD716136407AC694	26542582	TCam2_SY0351_10nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227439	GSM5941923	Seminoma	TCam2_cell_line	SY0351_10nM_24h
SAMN26542583	SRR18280535	2022-03-26T14:35:30Z	2022-03-11T15:38:46Z	15697756	1585473356	0	101	507		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280535/SRR18280535	SRX14418334	GSM5941922	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227438	simple	9606	Homo sapiens	GSM5941922							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	B432877283F0EAC658720EBDF023B7F1	38167B99CCE5B7BB667210D2C9E56CD3	26542583	TCam2_SY0351_10nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227438	GSM5941922	Seminoma	TCam2_cell_line	SY0351_10nM_24h
SAMN26542584	SRR18280536	2022-03-26T14:35:30Z	2022-03-11T15:42:19Z	22987451	2321732551	0	101	742		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280536/SRR18280536	SRX14418333	GSM5941921	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227437	simple	9606	Homo sapiens	GSM5941921							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	2D48928DD9FB31120BC2A2C983BEFDAB	2C4CF3F465AC18809C481F9F62AB3413	26542584	TCam2_SY0351_10nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227437	GSM5941921	Seminoma	TCam2_cell_line	SY0351_10nM_24h
