BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	batch	cell line	compound	source_name	time-point	group
SAMN06611695	SRR5352659	2018-02-26T08:47:11Z	2017-03-17T13:11:05Z	15980602	1614040802	0	101	472		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352659/SRR5352659.1	SRX2648886		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054095	simple	9606	Homo sapiens	GSM2539729							no					GEO	SRA546763		public	C8FD24BE745207EF047BA75F03A46F74	D843D326A290C1E56BD344A01F7BDDF0	6611695	SNX-2112_0.006_24 [CR03D01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054095	GSM2539729	3	H-STS NET	SNX-2112	H-STS NET cell line, SNX-2112, 24h	24h	SNX_2112.24
SAMN06611694	SRR5352660	2018-02-26T08:47:11Z	2017-03-17T13:10:08Z	16579975	1674577475	0	101	489		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352660/SRR5352660.1	SRX2648887		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054097	simple	9606	Homo sapiens	GSM2539730							no					GEO	SRA546763		public	444666BB36FEE9208AFF28575F333E68	422AA2BC430F9A32BED6994A68A02320	6611694	SNX-2112_0.006_24 [CR03D02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054097	GSM2539730	3	H-STS NET	SNX-2112	H-STS NET cell line, SNX-2112, 24h	24h	SNX_2112.24
SAMN06611693	SRR5352661	2018-02-26T08:47:11Z	2017-03-17T13:09:45Z	13424341	1355858441	0	101	390		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352661/SRR5352661.1	SRX2648888		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054098	simple	9606	Homo sapiens	GSM2539731							no					GEO	SRA546763		public	69F33716F595F3591243523573BA38F9	D21FD1747BED2F89E8F47F079122715B	6611693	Sunitinib_1.76_24 [CR03D03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054098	GSM2539731	3	H-STS NET	Sunitinib	H-STS NET cell line, Sunitinib, 24h	24h	Sunitinib.24
SAMN06611692	SRR5352662	2018-02-26T08:47:11Z	2017-03-17T13:15:23Z	17743436	1792087036	0	101	526		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352662/SRR5352662.1	SRX2648889		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054099	simple	9606	Homo sapiens	GSM2539732							no					GEO	SRA546763		public	9ED96EDF06B3D35D471E975CBCBD9D0C	0AEC50D125FF5F1ACDF0828804358C00	6611692	Sunitinib_1.76_24 [CR03D04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054099	GSM2539732	3	H-STS NET	Sunitinib	H-STS NET cell line, Sunitinib, 24h	24h	Sunitinib.24
SAMN06611691	SRR5352663	2018-02-26T08:47:11Z	2017-03-17T13:10:55Z	19059699	1925029599	0	101	559		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352663/SRR5352663.1	SRX2648890		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054100	simple	9606	Homo sapiens	GSM2539733							no					GEO	SRA546763		public	1139D158BD25FB81F653081519294188	86F35C8280A130F1C701A2DDA26FAFEF	6611691	Sunitinib_0.176_24 [CR03D05]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054100	GSM2539733	3	H-STS NET	Sunitinib	H-STS NET cell line, Sunitinib, 24h	24h	Sunitinib.24
SAMN06611690	SRR5352664	2018-02-26T08:47:11Z	2017-03-17T13:11:20Z	16375250	1653900250	0	101	479		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352664/SRR5352664.1	SRX2648891		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054102	simple	9606	Homo sapiens	GSM2539734							no					GEO	SRA546763		public	BB568099EB642F55DB8F2B9D734861C8	BC8C8602AA3A631310B00F42E94E658E	6611690	Sunitinib_0.176_24 [CR03D06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054102	GSM2539734	3	H-STS NET	Sunitinib	H-STS NET cell line, Sunitinib, 24h	24h	Sunitinib.24
SAMN06611689	SRR5352665	2018-02-26T08:47:11Z	2017-03-17T13:13:30Z	17990423	1817032723	0	101	529		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352665/SRR5352665.1	SRX2648892		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054101	simple	9606	Homo sapiens	GSM2539735							no					GEO	SRA546763		public	42899BB9224CE4F42F07A79DBF7A3EAB	D8A8460612C55116B18FA09069BCE40D	6611689	YM-155_0.0007_24 [CR03D07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054101	GSM2539735	3	H-STS NET	YM-155	H-STS NET cell line, YM-155, 24h	24h	YM_155.24
SAMN06611884	SRR5352666	2018-02-26T08:47:11Z	2017-03-17T13:13:49Z	18574249	1875999149	0	101	543		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352666/SRR5352666.1	SRX2648893		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054104	simple	9606	Homo sapiens	GSM2539736							no					GEO	SRA546763		public	1484B6D4AE6D224B1C3C33ACEF07560C	C471728F096431897D5215025CCBD25E	6611884	YM-155_0.0007_24 [CR03D08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054104	GSM2539736	3	H-STS NET	YM-155	H-STS NET cell line, YM-155, 24h	24h	YM_155.24
SAMN06611883	SRR5352667	2018-02-26T08:47:11Z	2017-03-17T13:10:51Z	18458110	1864269110	0	101	544		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352667/SRR5352667.1	SRX2648894		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054103	simple	9606	Homo sapiens	GSM2539737							no					GEO	SRA546763		public	2D1FF8CDC4B697EF6634082B39B1BA14	D472846F68E3C050063CCA7A2870DD72	6611883	YM-155_0.00006_24 [CR03D09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054103	GSM2539737	3	H-STS NET	YM-155	H-STS NET cell line, YM-155, 24h	24h	YM_155.24
SAMN06611882	SRR5352668	2018-02-26T08:47:11Z	2017-03-17T13:13:16Z	19177533	1936930833	0	101	567		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352668/SRR5352668.1	SRX2648895		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054105	simple	9606	Homo sapiens	GSM2539738							no					GEO	SRA546763		public	C09A3F6ED0CB1A8552431AE22148CA2C	7843D6FC1D05242328FF7E3396AD1D4D	6611882	YM-155_0.00006_24 [CR03D10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054105	GSM2539738	3	H-STS NET	YM-155	H-STS NET cell line, YM-155, 24h	24h	YM_155.24
SAMN06611881	SRR5352669	2018-02-26T08:47:11Z	2017-03-17T13:09:10Z	9766238	986390038	0	101	227		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352669/SRR5352669.1	SRX2648896		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054106	simple	9606	Homo sapiens	GSM2539739							no					GEO	SRA546763		public	4CD2EE65470D672B6BFCD87C59E1F222	FAAA45064B69822BC1BC3FEFF58A9DCF	6611881	Parthenolide_0.8_6 [CR04A01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054106	GSM2539739	4	H-STS NET	Parthenolide	H-STS NET cell line, Parthenolide, 6h	6h	Parthenolide.6
SAMN06611880	SRR5352670	2018-02-26T08:47:11Z	2017-03-17T13:09:59Z	12240066	1236246666	0	101	320		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352670/SRR5352670.1	SRX2648897		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054107	simple	9606	Homo sapiens	GSM2539740							no					GEO	SRA546763		public	E4CB1B863480E056B1CBCCB2DBA5F5A4	E75122C6814FF09E307AF804CACD9A96	6611880	Parthenolide_0.8_6 [CR04A02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054107	GSM2539740	4	H-STS NET	Parthenolide	H-STS NET cell line, Parthenolide, 6h	6h	Parthenolide.6
SAMN06611879	SRR5352671	2018-02-26T08:47:11Z	2017-03-17T13:14:49Z	13368728	1350241528	0	101	351		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352671/SRR5352671.1	SRX2648898		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054108	simple	9606	Homo sapiens	GSM2539741							no					GEO	SRA546763		public	5ECC9436FC101E8EE7D6BE350EB09BE3	4FE8FA0FBF8311F1B359B3B9CFB98A2A	6611879	At13387_0.07_6 [CR04A03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054108	GSM2539741	4	H-STS NET	At13387	H-STS NET cell line, At13387, 6h	6h	At13387.6
SAMN06611878	SRR5352672	2018-02-26T08:47:11Z	2017-03-17T13:13:14Z	15817830	1597600830	0	101	426		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352672/SRR5352672.1	SRX2648899		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054109	simple	9606	Homo sapiens	GSM2539742							no					GEO	SRA546763		public	0A90C2A4FCB4F0285F7A18A2D7DB059D	890A0846A0BFDF27675260BB11F04B14	6611878	At13387_0.07_6 [CR04A04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054109	GSM2539742	4	H-STS NET	At13387	H-STS NET cell line, At13387, 6h	6h	At13387.6
SAMN06611877	SRR5352673	2018-02-26T08:47:11Z	2017-03-17T13:09:34Z	13075907	1320666607	0	101	346		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352673/SRR5352673.1	SRX2648900		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054111	simple	9606	Homo sapiens	GSM2539743							no					GEO	SRA546763		public	C2B343EC5FC12C48AE255811FA7FCFDD	F93E7840BD7A7E2BCD21BE577674161B	6611877	BI-2536_0.009_6 [CR04A05]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054111	GSM2539743	4	H-STS NET	BI-2536	H-STS NET cell line, BI-2536, 6h	6h	BI_2536.6
SAMN06611876	SRR5352674	2018-02-26T08:47:11Z	2017-03-17T13:13:37Z	15219124	1537131524	0	101	412		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352674/SRR5352674.1	SRX2648901		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054110	simple	9606	Homo sapiens	GSM2539744							no					GEO	SRA546763		public	A0FA1A096E65E7F4B62F027BD2C0927C	C88989B2CE3EC3ADD8CC7321B369847D	6611876	BI-2536_0.009_6 [CR04A06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054110	GSM2539744	4	H-STS NET	BI-2536	H-STS NET cell line, BI-2536, 6h	6h	BI_2536.6
SAMN06611875	SRR5352675	2018-02-26T08:47:11Z	2017-03-17T13:15:34Z	15817856	1597603456	0	101	434		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352675/SRR5352675.1	SRX2648902		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054112	simple	9606	Homo sapiens	GSM2539745							no					GEO	SRA546763		public	4737CEFB073BBB9FC1FDE3CE69C5963C	29BD3410828EA79FA74AB3CA0A9A4B8C	6611875	BMS-754807_0.72_6 [CR04A07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054112	GSM2539745	4	H-STS NET	BMS-754807	H-STS NET cell line, BMS-754807, 6h	6h	BMS_754807.6
SAMN06611874	SRR5352676	2018-02-26T08:47:11Z	2017-03-17T13:12:39Z	15727584	1588485984	0	101	433		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352676/SRR5352676.1	SRX2648903		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054113	simple	9606	Homo sapiens	GSM2539746							no					GEO	SRA546763		public	5245B0C8642B8D66C833C81FF5669F12	8D75860298467D15282767259E87F3A1	6611874	BMS-754807_0.72_6 [CR04A08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054113	GSM2539746	4	H-STS NET	BMS-754807	H-STS NET cell line, BMS-754807, 6h	6h	BMS_754807.6
SAMN06611873	SRR5352677	2018-02-26T08:47:11Z	2017-03-17T13:10:28Z	12506405	1263146905	0	101	326		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352677/SRR5352677.1	SRX2648904		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054114	simple	9606	Homo sapiens	GSM2539747							no					GEO	SRA546763		public	4FD8363FF7E55521EE364C48DEA0F48F	B65B6F2A11D91BE9A754EC92C5C98FD4	6611873	Bortezomib_0.05_6 [CR04A09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054114	GSM2539747	4	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 6h	6h	Bortezomib.6
SAMN06611872	SRR5352678	2018-02-26T08:47:11Z	2017-03-17T13:19:49Z	15964856	1612450456	0	101	425		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352678/SRR5352678.1	SRX2648905		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054115	simple	9606	Homo sapiens	GSM2539748							no					GEO	SRA546763		public	84286710874B349E4416E7BE2E92A54D	1C06443F28E2F3EC66A0053B4A868D4F	6611872	Bortezomib_0.05_6 [CR04A10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054115	GSM2539748	4	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 6h	6h	Bortezomib.6
SAMN06611871	SRR5352679	2018-02-26T08:47:11Z	2017-03-17T13:11:39Z	14222970	1436519970	0	101	375		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352679/SRR5352679.1	SRX2648906		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054116	simple	9606	Homo sapiens	GSM2539749							no					GEO	SRA546763		public	55D2BCB6E71B6A05A32D5DE62FB8582F	BD1C95763D00BB9648E7E72F20BCDAE3	6611871	Brefeldin A_0.042_6 [CR04A11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054116	GSM2539749	4	H-STS NET	Brefeldin A	H-STS NET cell line, Brefeldin A, 6h	6h	Brefeldin_A.6
SAMN06611870	SRR5352680	2018-02-26T08:47:11Z	2017-03-17T13:13:40Z	16827650	1699592650	0	101	480		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352680/SRR5352680.1	SRX2648907		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054117	simple	9606	Homo sapiens	GSM2539750							no					GEO	SRA546763		public	A22F526D13D37F64923F8AD44F568FD6	0F0CA2639ED1532B7119862DA1174F84	6611870	Brefeldin A_0.042_6 [CR04A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054117	GSM2539750	4	H-STS NET	Brefeldin A	H-STS NET cell line, Brefeldin A, 6h	6h	Brefeldin_A.6
SAMN06611869	SRR5352681	2018-02-26T08:47:11Z	2017-03-17T13:12:25Z	18016408	1819657208	0	101	497		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352681/SRR5352681.1	SRX2648908		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054119	simple	9606	Homo sapiens	GSM2539751							no					GEO	SRA546763		public	8AD50A333644AB485B1CF1461EB1DAC2	2FFD978A6E87B6CE9002958652E96AC7	6611869	DMSO__6 [CR04B01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054119	GSM2539751	4	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h	DMSO.6
SAMN06611868	SRR5352682	2018-02-26T08:47:11Z	2017-03-17T13:14:11Z	18113020	1829415020	0	101	495		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352682/SRR5352682.1	SRX2648909		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054120	simple	9606	Homo sapiens	GSM2539752							no					GEO	SRA546763		public	03C9910BDEAF0DC5EEFD1372E8E7AEB4	FC0B182CB74187D4936F87256547214F	6611868	DMSO__6 [CR04B02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054120	GSM2539752	4	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h	DMSO.6
SAMN06611867	SRR5352683	2018-02-26T08:47:11Z	2017-03-17T13:13:40Z	17639360	1781575360	0	101	491		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352683/SRR5352683.1	SRX2648910		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054118	simple	9606	Homo sapiens	GSM2539753							no					GEO	SRA546763		public	BA3D8FC76A64FD9D633F752818209450	3F6613EBBEA6E4271FC7D7B30B51FB66	6611867	CD-437_0.236_6 [CR04B03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054118	GSM2539753	4	H-STS NET	CD-437	H-STS NET cell line, CD-437, 6h	6h	CD_437.6
SAMN06611866	SRR5352684	2018-02-26T08:47:11Z	2017-03-17T13:13:07Z	16534030	1669937030	0	101	464		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352684/SRR5352684.1	SRX2648911		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054121	simple	9606	Homo sapiens	GSM2539754							no					GEO	SRA546763		public	981459AD54772B416D9E6A18FD473CC7	9CE1218EB6D05BF18FC9727A40D83EF5	6611866	CD-437_0.236_6 [CR04B04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054121	GSM2539754	4	H-STS NET	CD-437	H-STS NET cell line, CD-437, 6h	6h	CD_437.6
SAMN06611684	SRR5352685	2018-02-26T08:47:11Z	2017-03-17T13:12:38Z	11740111	1185751211	0	101	320		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352685/SRR5352685.1	SRX2648912		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054122	simple	9606	Homo sapiens	GSM2539755							no					GEO	SRA546763		public	5BD2CD0BC1C8B54A44908CCEFC1DF2F5	9FFE70EB8E2FDE74A5ABCFB4D5AA346B	6611684	DBeQ_1.6_6 [CR04B05]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054122	GSM2539755	4	H-STS NET	DBeQ	H-STS NET cell line, DBeQ, 6h	6h	DBeQ.6
SAMN06611683	SRR5352686	2018-02-26T08:47:11Z	2017-03-17T13:12:28Z	13477249	1361202149	0	101	343		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352686/SRR5352686.1	SRX2648913		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054123	simple	9606	Homo sapiens	GSM2539756							no					GEO	SRA546763		public	F7FCE01E6D3CC8BC996AA426B9EAA2B5	0E85E929A8E8096250619E0227FC8B4C	6611683	DBeQ_1.6_6 [CR04B06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054123	GSM2539756	4	H-STS NET	DBeQ	H-STS NET cell line, DBeQ, 6h	6h	DBeQ.6
SAMN06611682	SRR5352687	2018-02-26T08:47:11Z	2017-03-17T13:13:54Z	17247568	1742004368	0	101	481		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352687/SRR5352687.1	SRX2648914		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054124	simple	9606	Homo sapiens	GSM2539757							no					GEO	SRA546763		public	9785000385960E1A97247BEF401BF961	40CE5194E88582F4179B9F4CDCC8430D	6611682	Fingolimod_4_6 [CR04B07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054124	GSM2539757	4	H-STS NET	Fingolimod	H-STS NET cell line, Fingolimod, 6h	6h	Fingolimod.6
SAMN06611681	SRR5352688	2018-02-26T08:47:11Z	2017-03-17T13:13:50Z	11580655	1169646155	0	101	335		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352688/SRR5352688.1	SRX2648915		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054125	simple	9606	Homo sapiens	GSM2539758							no					GEO	SRA546763		public	13FE38B35F267244A095875AB6590218	05D02ECAC73C15D236C6B2D7DF64D139	6611681	Fingolimod_4_6 [CR04B08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054125	GSM2539758	4	H-STS NET	Fingolimod	H-STS NET cell line, Fingolimod, 6h	6h	Fingolimod.6
SAMN06611680	SRR5352689	2018-02-26T08:47:11Z	2017-03-17T13:13:25Z	14597630	1474360630	0	101	448		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352689/SRR5352689.1	SRX2648916		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054126	simple	9606	Homo sapiens	GSM2539759							no					GEO	SRA546763		public	200EAF0270D22F098EDE041E2E8CE24D	7BD9322FF98F7A26F82913BD3A38068B	6611680	Flavopiridol_0.048_6 [CR04B09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054126	GSM2539759	4	H-STS NET	Flavopiridol	H-STS NET cell line, Flavopiridol, 6h	6h	Flavopiridol.6
SAMN06611679	SRR5352690	2018-02-26T08:47:11Z	2017-03-17T13:14:58Z	14328253	1447153553	0	101	436		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352690/SRR5352690.1	SRX2648917		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054127	simple	9606	Homo sapiens	GSM2539760							no					GEO	SRA546763		public	8E61E753ED4F266CAEB280356AB095FB	EFBB1B159BF37498E110E7C16D493C8E	6611679	Flavopiridol_0.048_6 [CR04B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054127	GSM2539760	4	H-STS NET	Flavopiridol	H-STS NET cell line, Flavopiridol, 6h	6h	Flavopiridol.6
SAMN06611678	SRR5352691	2018-02-26T08:47:11Z	2017-03-17T13:13:45Z	15128501	1527978601	0	101	460		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352691/SRR5352691.1	SRX2648918		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054128	simple	9606	Homo sapiens	GSM2539761							no					GEO	SRA546763		public	32DA97B5A20FC609C5A4BDB3F29B42D2	876E1B7C359D23F788548D35D808C42E	6611678	Fluvastatin_0.76_6 [CR04B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054128	GSM2539761	4	H-STS NET	Fluvastatin	H-STS NET cell line, Fluvastatin, 6h	6h	Fluvastatin.6
