BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	disease	source_name	tissue	treatment
SAMN19108167	SRR14496765	2022-03-11T06:10:36Z	2021-05-13T12:04:48Z	27338855	7711111237	27338855	282	3276		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496765/SRR14496765.lite.1	SRX10844065		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928025	simple	9606	Homo sapiens	GSM5289960							no					GEO	SRA1230919		public	4A698CBCC75E821D3CFD93AA11C43CD2	7AD5839713F19D82403C02C14EC9304F	19108167	Melanoma Cancer Cells - PES43_NIVO+sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928025	GSM5289960	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-2 for 6h
SAMN19108168	SRR14496746	2022-03-11T06:10:37Z	2021-05-13T11:54:47Z	24265858	6964413507	24265858	287	2956		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496746/SRR14496746.lite.1	SRX10844094		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928054	simple	9606	Homo sapiens	GSM5289941							no					GEO	SRA1230919		public	1CCA4A818EFE3521D40A6CAFCB1F7A4D	8AE1D2C11B3D0E228A801B9177460D4E	19108168	Colorectal Cancer Cells - HCT116_sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928054	GSM5289941	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108169	SRR14496745	2022-03-11T06:10:37Z	2021-05-13T16:30:58Z	29044776	8214148741	29044776	282	3416		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496745/SRR14496745.lite.1	SRX10844093		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928053	simple	9606	Homo sapiens	GSM5289940							no					GEO	SRA1230919		public	FAE8BA9F43BD39AEF63E9C67FFAF436A	666E9560E42A7DA9F9DEC22039EA2EB2	19108169	Colorectal Cancer Cells - HCT116_NIVO_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928053	GSM5289940	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108170	SRR14496744	2022-03-11T06:10:37Z	2021-05-13T11:44:49Z	23174821	6638307662	23174821	286	2749		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496744/SRR14496744.lite.1	SRX10844092		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928052	simple	9606	Homo sapiens	GSM5289939							no					GEO	SRA1230919		public	6FA0921CCBCC61888426284AB69A68C0	93C238D4AB3577CC856367B0C557646E	19108170	Colorectal Cancer Cells - HCT116_NIVO_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928052	GSM5289939	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 6h
SAMN19108171	SRR14496743	2022-03-11T06:10:37Z	2021-05-13T12:07:00Z	25523506	7165349603	25523506	280	2979		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496743/SRR14496743.lite.1	SRX10844091		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928051	simple	9606	Homo sapiens	GSM5289938							no					GEO	SRA1230919		public	3A26FEBCB54FD5E0A78E5B28CF57B717	AC6F2C9C285F87FBD77738AC4105BCAA	19108171	Colorectal Cancer Cells - HCT116_ctr_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928051	GSM5289938	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108172	SRR14496742	2022-03-11T06:10:37Z	2021-05-13T11:59:45Z	26797081	7710005958	26797081	287	3066		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496742/SRR14496742.lite.1	SRX10844090		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928050	simple	9606	Homo sapiens	GSM5289937							no					GEO	SRA1230919		public	56D168BEA310A5A0C488C965C25515D8	4B3723DB18D6C76129ABD4BA35A14858	19108172	Colorectal Cancer Cells - HCT116_ctr_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928050	GSM5289937	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108173	SRR14496741	2022-03-11T06:10:37Z	2021-05-13T12:09:46Z	27081314	7708016774	27081314	284	3376		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496741/SRR14496741.lite.1	SRX10844089		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928049	simple	9606	Homo sapiens	GSM5289936							no					GEO	SRA1230919		public	310A3D30F021CEDF2AACA408E9C4A7FB	4E594C601F6ADC574C8783EA632E3A9C	19108173	Colorectal Cancer Cells - HT29_NIVO+sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928049	GSM5289936	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 24h
SAMN19108174	SRR14496740	2022-03-11T06:10:37Z	2021-05-13T18:47:15Z	36926334	10676183011	36926334	289	4538		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496740/SRR14496740.lite.1	SRX10844088		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928048	simple	9606	Homo sapiens	GSM5289935							no					GEO	SRA1230919		public	B0B00D7A5FE97BDAA192196269B82DF3	43F6A84112EE7656AC34B5C9BEB0E3AD	19108174	Colorectal Cancer Cells - HT29_NIVO+sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928048	GSM5289935	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 24h
SAMN19108175	SRR14496739	2022-03-11T06:10:37Z	2021-05-13T09:53:41Z	15545494	4537709579	15545494	291	1976		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496739/SRR14496739.lite.1	SRX10844087		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928047	simple	9606	Homo sapiens	GSM5289934							no					GEO	SRA1230919		public	C758545A8C3620B076E7CCB6A7D4DD0E	98256C3EC9938E62118060A86704AA8D	19108175	Colorectal Cancer Cells - HT29_sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928047	GSM5289934	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108176	SRR14496738	2022-03-11T06:10:37Z	2021-05-13T10:39:38Z	20262168	5948448542	20262168	293	2378		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496738/SRR14496738.lite.1	SRX10844086		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928046	simple	9606	Homo sapiens	GSM5289933							no					GEO	SRA1230919		public	37A1E9C3FEE149681C9E1A3E6F142E7C	7BDCF55AAE1EDA5018AE0458CD5D6D20	19108176	Colorectal Cancer Cells - HT29_sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928046	GSM5289933	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108177	SRR14496737	2022-03-11T06:10:37Z	2021-05-13T10:55:23Z	21029524	5899969217	21029524	280	2641		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496737/SRR14496737.lite.1	SRX10844085		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928045	simple	9606	Homo sapiens	GSM5289932							no					GEO	SRA1230919		public	294DD2BA7785DAD73FC4170C8C13A887	7AE783C50901ABA66D7B1DFBA41597AE	19108177	Colorectal Cancer Cells - HT29_NIVO_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928045	GSM5289932	Colorectal Adenocarcinoma	Colorectal Cancer Cells	Colon	NIVOLUMAB (NIVO) for 24h
SAMN19108178	SRR14496764	2022-03-11T06:10:36Z	2021-05-13T12:27:40Z	26356790	7463482786	26356790	283	2956		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496764/SRR14496764.lite.1	SRX10844064		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928024	simple	9606	Homo sapiens	GSM5289959							no					GEO	SRA1230919		public	B2E0A5397C567ADDF2EFB55F01E56547	36C1B3BCBB8BC7785E0DD7511DF760D5	19108178	Melanoma Cancer Cells - PES43_NIVO+sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928024	GSM5289959	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-1 for 6h
SAMN19108179	SRR14496763	2022-03-11T06:10:36Z	2021-05-13T10:37:41Z	19596829	5658454453	19596829	288	2466		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496763/SRR14496763.lite.1	SRX10844063		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928023	simple	9606	Homo sapiens	GSM5289958							no					GEO	SRA1230919		public	02B6E40E53CCEA8B72A92FDAEE1E85BD	F5384B868BA232310597FA5F30EE43EF	19108179	Melanoma Cancer Cells - PES43_sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928023	GSM5289958	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108180	SRR14496762	2022-03-11T06:10:36Z	2021-05-13T12:03:50Z	26573173	7470905954	26573173	281	2968		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496762/SRR14496762.lite.1	SRX10844062		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928022	simple	9606	Homo sapiens	GSM5289957							no					GEO	SRA1230919		public	42022EB6F754BCA12F80AA1BC2DA7CCD	3E1920007575223BB07B2EDD83C0F1E8	19108180	Melanoma Cancer Cells - PES43_sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928022	GSM5289957	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108181	SRR14496761	2022-03-11T06:10:35Z	2021-05-13T11:47:03Z	24142572	6934103008	24142572	287	2958		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR014/14496/SRR14496761/SRR14496761.lite.1	SRX10844061		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928021	simple	9606	Homo sapiens	GSM5289956							no					GEO	SRA1230919		public	AD304385BA3536C9C9930096727546D5	29902500FAA14300B042CBC00592801C	19108181	Melanoma Cancer Cells - PES43_NIVO_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928021	GSM5289956	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 6h
SAMN19108182	SRR14496760	2022-03-11T06:10:35Z	2021-05-13T12:04:06Z	25933628	7311939975	25933628	281	2917		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496760/SRR14496760.lite.1	SRX10844060		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928020	simple	9606	Homo sapiens	GSM5289955							no					GEO	SRA1230919		public	5B86158B0EB036F6E07CE18000F16694	85F13C0C5B404F0F1DA519BC4297F989	19108182	Melanoma Cancer Cells - PES43_NIVO_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928020	GSM5289955	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 6h
SAMN19108183	SRR14496759	2022-03-11T06:10:35Z	2021-05-13T11:33:06Z	20888318	6073153429	20888318	290	2642		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR014/14496/SRR14496759/SRR14496759.lite.1	SRX10844059		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928019	simple	9606	Homo sapiens	GSM5289954							no					GEO	SRA1230919		public	F6263BE5C38C97E8574361665EDF6221	AF3AFBB898FF5A8CB3F3BE5C0AE075D5	19108183	Melanoma Cancer Cells - PES43_ctr_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928019	GSM5289954	Melanoma	Melanoma Cancer Cells	Skin	untreated
SAMN19108184	SRR14496758	2022-03-11T06:10:38Z	2021-05-13T11:35:56Z	24478163	6779785945	24478163	276	2697		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14496/SRR14496758/SRR14496758.lite.1	SRX10844106		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928066	simple	9606	Homo sapiens	GSM5289953							no					GEO	SRA1230919		public	CB13D623F53168872C67F5CFB273DDC9	A9AE4ED61A45AB4EF243CE0DA6C80CF8	19108184	Melanoma Cancer Cells - PES43_ctr_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928066	GSM5289953	Melanoma	Melanoma Cancer Cells	Skin	untreated
SAMN19108185	SRR14496757	2022-03-11T06:10:38Z	2021-05-13T16:13:40Z	34410476	9997630734	34410476	290	4281		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496757/SRR14496757.lite.1	SRX10844105		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928065	simple	9606	Homo sapiens	GSM5289952							no					GEO	SRA1230919		public	061BEFFB7A80F24DD2ADA4E03BA3AFB5	44642BBD88086224B368AE23E8800D35	19108185	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928065	GSM5289952	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 24h
