BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug	experiment	source_name	timepoint	group
SAMN10663344	SRR8381007	2019-07-02T15:57:12Z	2020-02-22T12:10:38Z	32495224	6564035248	32495224	202	2519		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/381/SRR8381007.sralite.1	SRX5190981		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197106	simple	9606	Homo sapiens	GSM3535575							no					GEO	SRA827993		public	1B57AF5C8EB3DE0242312CEACB3B5056	1576368AABF75B848AADC990CFFA5B92	10663344	AMO-1 SRSF1mSD 15 nM carfilzomib mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197106	GSM3535575	AMO-1		15 nM carfilzomib	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSRSF1SDeas.15.nM.carfilzomib.24.h
SAMN10663345	SRR8381006	2019-07-02T15:57:12Z	2020-02-22T10:29:24Z	31076697	6277492794	31076697	202	2381		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/381/SRR8381006.sralite.1	SRX5190980		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197105	simple	9606	Homo sapiens	GSM3535574							no					GEO	SRA827993		public	3329273581C54CFF3616B8811926224F	96AC2149F0D55664CE489E02BFD12995	10663345	AMO-1 SRSF1mSD 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197105	GSM3535574	AMO-1		15 nM carfilzomib	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSRSF1SDeas.15.nM.carfilzomib.24.h
SAMN10663346	SRR8381005	2019-07-02T15:57:12Z	2020-02-22T14:49:51Z	45447209	9180336218	45447209	202	3429		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/381/SRR8381005.sralite.1	SRX5190979		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197104	simple	9606	Homo sapiens	GSM3535573							no					GEO	SRA827993		public	B79DBF31DF0D2FBBEF85694E887F5F8F	529858C51D3F519FAE8E04A2301D28C8	10663346	AMO-1 SRSF1 WT 15 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197104	GSM3535573	AMO-1		15 nM carfilzomib	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSWeas.15.nM.carfilzomib.24.h
SAMN10663347	SRR8381004	2019-07-02T15:57:12Z	2020-02-22T15:27:20Z	39274979	7933545758	39274979	202	2997		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/381/SRR8381004.sralite.1	SRX5190978		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197103	simple	9606	Homo sapiens	GSM3535572							no					GEO	SRA827993		public	EADE5F13FEC41A5FF1A20040AFC9253A	AB72BCB386D42C60D2F701CA87A8951E	10663347	AMO-1 SRSF1 WT 15 nM carfilzomib mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197103	GSM3535572	AMO-1		15 nM carfilzomib	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSWeas.15.nM.carfilzomib.24.h
SAMN10663348	SRR8381003	2019-07-02T15:57:12Z	2020-02-22T12:02:47Z	40251882	8130880164	40251882	202	3044		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/381/SRR8381003.sralite.1	SRX5190977		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197102	simple	9606	Homo sapiens	GSM3535571							no					GEO	SRA827993		public	539579504DDE35FE74810D8EB988A723	85E01E761A9BCBD3C4D35D33325B7B95	10663348	AMO-1 SRSF1 WT 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197102	GSM3535571	AMO-1		15 nM carfilzomib	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSWeas.15.nM.carfilzomib.24.h
SAMN10663349	SRR8381002	2019-07-02T15:57:12Z	2020-02-22T10:30:14Z	30236681	6107809562	30236681	202	2318		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/381/SRR8381002.sralite.1	SRX5190976		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197101	simple	9606	Homo sapiens	GSM3535570							no					GEO	SRA827993		public	24EB1B7182D628C0EF183583C3864050	B16041ECFE1CEC1915C97268B95B16A3	10663349	AMO-1 SRSF1mSA DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197101	GSM3535570	AMO-1		DMSO	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSRSF1SAeas.DMSO.24.h..untreated.
SAMN10663350	SRR8381001	2019-07-02T15:57:12Z	2020-02-22T12:19:40Z	60169270	12154192540	60169270	202	4629		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/381/SRR8381001.sralite.1	SRX5190975		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197100	simple	9606	Homo sapiens	GSM3535569							no					GEO	SRA827993		public	E6656A9564D3314C8BC2FD08480B2105	76FA399DBBCF51FE6792DB516FDA79C6	10663350	AMO-1 SRSF1mSA DMSO mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197100	GSM3535569	AMO-1		DMSO	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSRSF1SAeas.DMSO.24.h..untreated.
SAMN10663351	SRR8381000	2019-07-02T15:57:12Z	2020-02-22T14:02:11Z	46929327	9479724054	46929327	202	3601		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/381/SRR8381000.sralite.1	SRX5190974		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197099	simple	9606	Homo sapiens	GSM3535568							no					GEO	SRA827993		public	7ED0798E870EFC8F611DF2341AD19D02	947B2041FABDA71B2C2C4621FBD4FF86	10663351	AMO-1 SRSF1mSA DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197099	GSM3535568	AMO-1		DMSO	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSRSF1SAeas.DMSO.24.h..untreated.
SAMN10663352	SRR8380999	2019-07-02T15:57:12Z	2020-02-22T10:50:42Z	39707331	8020880862	39707331	202	3043		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380999.sralite.1	SRX5190973		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197098	simple	9606	Homo sapiens	GSM3535567							no					GEO	SRA827993		public	FD7649F9423DC3774F2BC60F8B73263D	3D0A3341938FA4DD3C70A77F34CF1B09	10663352	AMO-1 SRSF1mSD DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197098	GSM3535567	AMO-1		DMSO	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSRSF1SDeas.DMSO.24.h..untreated.
SAMN10663353	SRR8380998	2019-07-02T15:57:12Z	2020-02-22T14:45:57Z	44199063	8928210726	44199063	202	3380		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380998.sralite.1	SRX5190972		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197097	simple	9606	Homo sapiens	GSM3535566							no					GEO	SRA827993		public	1A1E467F8C12016940F4473474FE7780	E46BDAFE544F6CF80FE236BA143A9E0D	10663353	AMO-1 SRSF1mSD DMSO mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197097	GSM3535566	AMO-1		DMSO	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSRSF1SDeas.DMSO.24.h..untreated.
SAMN10663354	SRR8380997	2019-07-02T15:57:12Z	2020-02-22T14:44:03Z	42747624	8635020048	42747624	202	3279		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380997.sralite.1	SRX5190971		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197096	simple	9606	Homo sapiens	GSM3535565							no					GEO	SRA827993		public	ED963AA1E29687E39DB675B2BA18E274	1A1335E70D08FEA8C3849EDC3DA7F367	10663354	AMO-1 SRSF1mSD DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197096	GSM3535565	AMO-1		DMSO	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSRSF1SDeas.DMSO.24.h..untreated.
SAMN10663355	SRR8380996	2019-07-02T15:57:12Z	2020-02-22T10:34:31Z	35061896	7082502992	35061896	202	2684		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380996.sralite.1	SRX5190970		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197095	simple	9606	Homo sapiens	GSM3535564							no					GEO	SRA827993		public	46CF5D721930340945BB909E7088201E	7B676CEBF28FE9FF661A8B616257C0B8	10663355	AMO-1 SRSF1 WT DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197095	GSM3535564	AMO-1		DMSO	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSWeas.DMSO.24.h..untreated.
SAMN10663356	SRR8380995	2019-07-02T15:57:12Z	2020-02-22T13:38:22Z	45160521	9122425242	45160521	202	3446		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380995.sralite.1	SRX5190969		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197094	simple	9606	Homo sapiens	GSM3535563							no					GEO	SRA827993		public	E08C49C22A553690121620E2845B7079	2FD61D854293B8A9C88535A65C37E512	10663356	AMO-1 SRSF1 WT DMSO mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197094	GSM3535563	AMO-1		DMSO	exogenous SRSF1 WT effect alternative splicing	AMO-1 myeloma cell line	24 h (untreated)	AMO.1.eSWeas.DMSO.24.h..untreated.
SAMN13673563	SRR10761041	2020-10-28T11:35:43Z	2019-12-23T16:55:12Z	42722023	12902050946	42722023	302	3771		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761041/SRR10761041.lite.1	SRX7435258		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880431	simple	9606	Homo sapiens	GSM4231712							no					GEO	SRA827993		public	DA68A053B0458F61902D8824E229117F	CBB031FC58C4E627DA11781A8CFC3202	13673563	MM.1S 5 nM bortezomib 24 h mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880431	GSM4231712		MM.1S	5 nM bortezomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	NA.stras.5.nM.bortezomib.24.h
SAMN13673564	SRR10761040	2020-10-28T11:35:43Z	2019-12-23T16:56:12Z	43889624	13254666448	43889624	302	3858		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761040/SRR10761040.lite.1	SRX7435257		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880430	simple	9606	Homo sapiens	GSM4231711							no					GEO	SRA827993		public	B1F5FD6D8EFF7A860A97E9AB677ED59C	CE525D05D2655AA0623B74756A053ADF	13673564	MM.1S 5 nM bortezomib 24 h mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880430	GSM4231711		MM.1S	5 nM bortezomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	NA.stras.5.nM.bortezomib.24.h
SAMN13673565	SRR10761039	2020-10-28T11:35:43Z	2019-12-23T16:56:19Z	43887305	13253966110	43887305	302	3868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761039/SRR10761039.lite.1	SRX7435256		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880429	simple	9606	Homo sapiens	GSM4231710							no					GEO	SRA827993		public	7CFA7DDDF39E3206E6D2AEE8659507A2	9A06DDA33648EE5B1799A2EC0B454DC9	13673565	MM.1S 5 nM bortezomib 24 h mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880429	GSM4231710		MM.1S	5 nM bortezomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	NA.stras.5.nM.bortezomib.24.h
SAMN13673566	SRR10761038	2020-10-28T11:35:43Z	2019-12-23T16:51:23Z	37247134	11248634468	37247134	302	3313		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761038/SRR10761038.lite.1	SRX7435255		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880428	simple	9606	Homo sapiens	GSM4231709							no					GEO	SRA827993		public	2F011C7933EC3300C5C4E73E14F92E37	EA104E6C8D4AD56A1651EB903585AC7A	13673566	MM.1S heat shock 4 h mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880428	GSM4231709		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	4 h	NA.hsiir.NA.4.h
SAMN13673567	SRR10761037	2020-10-28T11:35:43Z	2019-12-23T16:56:20Z	49170702	14849552004	49170702	302	4318		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761037/SRR10761037.lite.1	SRX7435254		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880427	simple	9606	Homo sapiens	GSM4231708							no					GEO	SRA827993		public	2E4A5E2174F2F96E73868544861E3580	BB4592A08F7316EE2693B58C69A78149	13673567	MM.1S heat shock 4 h mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880427	GSM4231708		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	4 h	NA.hsiir.NA.4.h
SAMN13673568	SRR10761036	2020-10-28T11:35:43Z	2019-12-23T16:49:25Z	36771429	11104971558	36771429	302	3230		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761036/SRR10761036.lite.1	SRX7435253		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880426	simple	9606	Homo sapiens	GSM4231707							no					GEO	SRA827993		public	2DF373ECC8EEF6303BA4186A30E0F972	038F35393CAC50CB9C029EEA11E23152	13673568	MM.1S heat shock 4 h mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880426	GSM4231707		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	4 h	NA.hsiir.NA.4.h
SAMN13673569	SRR10761035	2020-10-28T11:35:43Z	2019-12-23T16:45:04Z	35799648	10811493696	35799648	302	3146		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR010/10761/SRR10761035/SRR10761035.lite.1	SRX7435252		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880425	simple	9606	Homo sapiens	GSM4231706							no					GEO	SRA827993		public	B7134D6CDD4E3811B0862F13EACA9295	273D9C222656EEB500E5DA24729F7E31	13673569	MM.1S 0 h control mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880425	GSM4231706		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	0 h (untreated)	NA.hsiir.NA.0.h..untreated.
SAMN13673570	SRR10761034	2020-10-28T11:35:43Z	2019-12-23T16:49:08Z	35329869	10669620438	35329869	302	3118		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761034/SRR10761034.lite.1	SRX7435251		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880424	simple	9606	Homo sapiens	GSM4231705							no					GEO	SRA827993		public	C0DCA6F9C153F1E8E227BD2AB4ABA522	3C30F4D3705DD7A7385199CDE79A47EA	13673570	MM.1S 0 h control mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880424	GSM4231705		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	0 h (untreated)	NA.hsiir.NA.0.h..untreated.
SAMN13673597	SRR10761033	2020-10-28T11:35:43Z	2019-12-23T16:50:05Z	40279639	12164450978	40279639	302	3551		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10761/SRR10761033/SRR10761033.lite.1	SRX7435250		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS5880423	simple	9606	Homo sapiens	GSM4231704							no					GEO	SRA827993		public	05B7F09DEB8332BCF78CA2D8694CD5BA	63BDD7F8DF59FBF6FEEE51B863BC4561	13673597	MM.1S 0 h control mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS5880423	GSM4231704		MM.1S		heat shock induced intron retention	MM.1S myeloma cell line	0 h (untreated)	NA.hsiir.NA.0.h..untreated.
