BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	Biological replicate	age	biomaterial_provider	cell_line	disease	disease_stage	isolate	sample_type	sex	tissue	treatment	group
SAMN13087993	SRR10326474	2019-11-14T16:02:04Z	2019-10-28T12:48:58Z	28379237	8065395099	28357533	284	2390	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326474/SRR10326474.1	SRX7036664	A-2-3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556571	simple	9606	Homo sapiens	H2122_MRTX849_QDX1_6hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	CF1833D987168E7AA9B3C106B5F84DD6	E3130000603F461EB7DCAAEB682EFA6F	13087993	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX1_6hr_3	SRA: SRS5556571	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX1_6hr	H2122.MRTX849_QDX1_6hr
SAMN13087994	SRR10326473	2019-11-14T16:02:04Z	2019-10-28T12:44:13Z	20595457	5988518576	20576858	290	1310	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326473/SRR10326473.1	SRX7036665	A-2-4	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556572	simple	9606	Homo sapiens	H2122_MRTX849_QDX1_24hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	9721B5C63C4742D3D63FFEBB5DB5A489	ED255DD117AC8EE1313E7DB77BF3D44A	13087994	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX1_24hr_1	SRA: SRS5556572	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX1_24hr	H2122.MRTX849_QDX1_24hr
SAMN13087995	SRR10326472	2019-11-14T16:02:04Z	2019-10-28T12:46:29Z	19561562	5615705124	19548519	287	1572	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326472/SRR10326472.1	SRX7036666	A-2-6	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556573	simple	9606	Homo sapiens	H2122_MRTX849_QDX1_24hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	36396AEC484036B347C64C4A8973F659	0DAC2FD77A727E17CF7432DE304E08CF	13087995	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX1_24hr_2	SRA: SRS5556573	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX1_24hr	H2122.MRTX849_QDX1_24hr
SAMN13087996	SRR10326471	2019-11-14T16:02:04Z	2019-10-28T12:47:06Z	20735995	5985348501	20721659	288	1333	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10326471/SRR10326471.1	SRX7036667	A-5-19	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556574	simple	9606	Homo sapiens	H2122_Palbociclib_QDX1_6hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	73E11847D530143F525D2FF7FE2EECE4	C353E5E2B7B5E47CE2FC5F0179B450AA	13087996	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX1_6hr_1	SRA: SRS5556574	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX1_6hr	H2122.Palbociclib_QDX1_6hr
SAMN13087997	SRR10326470	2019-11-14T16:02:04Z	2019-10-28T12:42:24Z	18743993	5354902599	18734481	285	1617	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326470/SRR10326470.1	SRX7036668	A-5-20	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556575	simple	9606	Homo sapiens	H2122_Palbociclib_QDX1_6hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	79C45C25E5696F2FCE2F838CDDF38438	33413B54559B443E09FFE8EDF3102AF8	13087997	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX1_6hr_2	SRA: SRS5556575	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX1_6hr	H2122.Palbociclib_QDX1_6hr
SAMN13087998	SRR10326469	2019-11-14T16:02:04Z	2019-10-28T12:43:56Z	17531644	5058545909	17513387	288	1494	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326469/SRR10326469.1	SRX7036669	A-5-21	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556576	simple	9606	Homo sapiens	H2122_Palbociclib_QDX1_6hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	9FDF8A88B588AD1B39BFCEDD2B22DB5C	6174913138E64B8FF2F674258E0FE531	13087998	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX1_6hr_3	SRA: SRS5556576	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX1_6hr	H2122.Palbociclib_QDX1_6hr
SAMN13087999	SRR10326468	2019-11-14T16:02:04Z	2019-10-28T12:52:17Z	23999339	6985859193	23984037	291	1514	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10326468/SRR10326468.1	SRX7036670	A-5-22	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556577	simple	9606	Homo sapiens	H2122_Palbociclib_QDX1_24hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	7BA9A3FF7A1CF2FE27BDC621E3C73C4B	7F517E57B195556B2488B9BC84BEEF92	13087999	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX1_24hr_1	SRA: SRS5556577	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX1_24hr	H2122.Palbociclib_QDX1_24hr
SAMN13088000	SRR10326466	2019-11-14T16:02:04Z	2019-10-28T12:48:24Z	17750045	5067876152	17740446	285	1461	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326466/SRR10326466.1	SRX7036672	A-5-23	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556579	simple	9606	Homo sapiens	H2122_Palbociclib_QDX1_24hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	90132D5FEE4ACC2AD55D155773735315	D95FE73916AF2E0BC93A3B8D0DE413DE	13088000	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX1_24hr_2	SRA: SRS5556579	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX1_24hr	H2122.Palbociclib_QDX1_24hr
SAMN13088001	SRR10326465	2019-11-14T16:02:04Z	2019-10-28T12:42:44Z	17568200	4945453616	17561200	281	1400	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032646/SRR10326465.1	SRX7036673	A-5-24	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556580	simple	9606	Homo sapiens	H2122_Palbociclib_QDX1_24hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	0CC97FD2E23D6B4808B061365DDCE5D0	9624716D2F17F1507324BCC94ABEBAD0	13088001	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX1_24hr_3	SRA: SRS5556580	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX1_24hr	H2122.Palbociclib_QDX1_24hr
SAMN13088002	SRR10326464	2019-11-14T16:02:04Z	2019-10-28T13:04:40Z	24402168	6969207208	24385730	285	2051	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032646/SRR10326464.1	SRX7036674	A-6-25	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556581	simple	9606	Homo sapiens	H2122_MRTX849_Palbociclib_QDX1_6hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	FA5A3DCE2946D097157FA47F7D115BD3	EA5CF61F7159EC796BBB8DEFD1666D1D	13088002	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_Palbociclib_QDX1_6hr_1	SRA: SRS5556581	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_Palbociclib_QDX1_6hr	H2122.MRTX849_Palbociclib_QDX1_6hr
SAMN13088003	SRR10326463	2019-11-14T16:02:04Z	2019-10-28T12:54:46Z	24818023	7048481710	24799059	284	1996	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10326463/SRR10326463.1	SRX7036675	A-6-26	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556582	simple	9606	Homo sapiens	H2122_MRTX849_Palbociclib_QDX1_6hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	23805FC8503F60638E47963D2FA07602	0B26152C087232C87B289A029217EC7B	13088003	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_Palbociclib_QDX1_6hr_2	SRA: SRS5556582	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_Palbociclib_QDX1_6hr	H2122.MRTX849_Palbociclib_QDX1_6hr
SAMN13088004	SRR10326462	2019-11-14T16:02:04Z	2019-10-28T12:57:40Z	24539190	7093652636	24519418	289	1719	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032646/SRR10326462.1	SRX7036676	A-6-27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556583	simple	9606	Homo sapiens	H2122_MRTX849_Palbociclib_QDX1_6hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	7AACC6E72FB6605173415247DEBB7C77	CAA2F7013BA736A1157B49F6104294A9	13088004	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_Palbociclib_QDX1_6hr_3	SRA: SRS5556583	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_Palbociclib_QDX1_6hr	H2122.MRTX849_Palbociclib_QDX1_6hr
SAMN13088005	SRR10326461	2019-11-14T16:02:04Z	2019-10-28T12:45:09Z	20502872	5920843260	20491048	288	1343	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032646/SRR10326461.1	SRX7036677	A-6-28	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556584	simple	9606	Homo sapiens	H2122_MRTX849_Palbociclib_QDX1_24hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	C7621E8F79C5E58E701400CDB3C3533A	7A30AFF5666F4AB65461BE1C6CFE23F8	13088005	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_Palbociclib_QDX1_24hr_1	SRA: SRS5556584	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_Palbociclib_QDX1_24hr	H2122.MRTX849_Palbociclib_QDX1_24hr
SAMN13088006	SRR10326460	2019-11-14T16:02:04Z	2019-10-28T12:44:49Z	24734945	7226736731	24715547	292	1605	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326460/SRR10326460.1	SRX7036678	A-6-29	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556585	simple	9606	Homo sapiens	H2122_MRTX849_Palbociclib_QDX1_24hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	FE1D3FE46B778A6C2BC8B7010C4B9202	A442E6ECBC94233E960F670D9FFA32FC	13088006	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_Palbociclib_QDX1_24hr_2	SRA: SRS5556585	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_Palbociclib_QDX1_24hr	H2122.MRTX849_Palbociclib_QDX1_24hr
SAMN13088007	SRR10326459	2019-11-14T16:02:04Z	2019-10-28T12:43:52Z	17782048	5091915747	17770265	286	1518	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326459/SRR10326459.1	SRX7036679	A-6-30	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556586	simple	9606	Homo sapiens	H2122_MRTX849_Palbociclib_QDX1_24hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	0ED442BAD26427E67B3414B995C52F31	E5829601EBCA2156D647936BBA33CDC6	13088007	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_Palbociclib_QDX1_24hr_3	SRA: SRS5556586	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_Palbociclib_QDX1_24hr	H2122.MRTX849_Palbociclib_QDX1_24hr
SAMN13088008	SRR10326458	2019-11-14T16:02:04Z	2019-10-28T12:49:24Z	21362214	6196441148	21351167	290	1346	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10326458/SRR10326458.1	SRX7036680	A-7-31	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556587	simple	9606	Homo sapiens	H2122_MRTX849_QDX7_6hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	4B4E429B2D749FF1119415D5D9FD59B4	7CEAF9CAD1C8C2D5C2D9E00821A6AE08	13088008	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX7_6hr_1	SRA: SRS5556587	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX7_6hr	H2122.MRTX849_QDX7_6hr
SAMN13088009	SRR10326457	2019-11-14T16:02:04Z	2019-10-28T12:43:33Z	17702835	5042418847	17691639	284	1382	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326457/SRR10326457.1	SRX7036681	A-7-32	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556588	simple	9606	Homo sapiens	H2122_MRTX849_QDX7_6hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	7BB894388129B40C5B0CE71EFF68F489	FAE8F9FBD2580F73DB54E7651D5F671A	13088009	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX7_6hr_2	SRA: SRS5556588	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX7_6hr	H2122.MRTX849_QDX7_6hr
SAMN13088010	SRR10326455	2019-11-14T16:02:04Z	2019-10-28T12:49:06Z	25928511	7307887624	25915336	281	1965	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032645/SRR10326455.1	SRX7036683	A-7-33	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556590	simple	9606	Homo sapiens	H2122_MRTX849_QDX7_6hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	D267948DDAA863F25130E122FC02E30B	C82670233350D55AF6C6AF844601AFA8	13088010	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX7_6hr_3	SRA: SRS5556590	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX7_6hr	H2122.MRTX849_QDX7_6hr
SAMN13088011	SRR10326454	2019-11-14T16:02:04Z	2019-10-28T12:40:30Z	16140385	4558651903	16133462	282	1247	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032645/SRR10326454.1	SRX7036684	A-7-34	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556591	simple	9606	Homo sapiens	H2122_MRTX849_QDX7_24hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	AD8D25149B0ADFFA156817F9407E3701	92D39DDD350D22B063FB88B152BF3DB3	13088011	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX7_24hr_1	SRA: SRS5556591	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX7_24hr	H2122.MRTX849_QDX7_24hr
SAMN13088012	SRR10326453	2019-11-14T16:02:04Z	2019-10-28T12:44:25Z	17134366	4927890373	17123318	287	1112	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326453/SRR10326453.1	SRX7036685	A-7-35	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556592	simple	9606	Homo sapiens	H2122_MRTX849_QDX7_24hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	8F1FFA5B0D640A34973C2F6EEC5D4C51	BCB263C355C5BCC768E7D30105960504	13088012	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX7_24hr_2	SRA: SRS5556592	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX7_24hr	H2122.MRTX849_QDX7_24hr
SAMN13088013	SRR10326452	2019-11-14T16:02:04Z	2019-10-28T12:43:06Z	18660846	5420931889	18652518	290	1191	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326452/SRR10326452.1	SRX7036686	A-7-36	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556593	simple	9606	Homo sapiens	H2122_MRTX849_QDX7_24hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	A92616C961E0D2BEB0F94D22215A7CA7	72F3328123A9A8E7E30C1DE29C2DDBDF	13088013	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX7_24hr_3	SRA: SRS5556593	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX7_24hr	H2122.MRTX849_QDX7_24hr
SAMN13088014	SRR10326451	2019-11-14T16:02:04Z	2019-10-28T12:41:46Z	20176566	5778046021	20162931	286	1548	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326451/SRR10326451.1	SRX7036687	A-10-49	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556594	simple	9606	Homo sapiens	H2122_Palbociclib_QDX7_6hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	4F9F982B1B06251E3BBA0510516B70B1	F5077E16878A27CAE002BED11A4FC299	13088014	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX7_6hr_1	SRA: SRS5556594	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX7_6hr	H2122.Palbociclib_QDX7_6hr
SAMN13088015	SRR10326450	2019-11-14T16:02:05Z	2019-10-28T12:40:54Z	19138233	5455982348	19126610	285	1479	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032645/SRR10326450.1	SRX7036688	A-10-50	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556595	simple	9606	Homo sapiens	H2122_Palbociclib_QDX7_6hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	20D2E73B01CC864E474FBB8918605D1B	67924DD1A54C9E8365EF47B675837B73	13088015	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX7_6hr_2	SRA: SRS5556595	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX7_6hr	H2122.Palbociclib_QDX7_6hr
SAMN13088016	SRR10326449	2019-11-14T16:02:05Z	2019-10-28T12:47:00Z	25442702	7349316575	25420617	288	1629	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032644/SRR10326449.1	SRX7036689	A-10-51	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556596	simple	9606	Homo sapiens	H2122_Palbociclib_QDX7_6hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	2BFBF5BB86A56F50378729B8BAC5BCFD	E2D913B2BF8D7C0E3C347CE31BE68839	13088016	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX7_6hr_3	SRA: SRS5556596	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX7_6hr	H2122.Palbociclib_QDX7_6hr
SAMN13088017	SRR10326448	2019-11-14T16:02:05Z	2019-10-28T12:42:44Z	16914924	4922445673	16898326	291	1068	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326448/SRR10326448.1	SRX7036690	A-10-52	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556597	simple	9606	Homo sapiens	H2122_Palbociclib_QDX7_24hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	B4838239D74CB6BF429D0C1F79B2CBE7	1F7646E0D04BEC500F05F8FEF57EB60F	13088017	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Palbociclib_QDX7_24hr_1	SRA: SRS5556597	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Palbociclib_QDX7_24hr	H2122.Palbociclib_QDX7_24hr
